ward,raw_slope,raw_p,norm_slope,norm_p,vol_slope,events_total,complaints_total,vol_first4,vol_last4,vol_growth
Domlur,-0.0,0.434563064772572,-0.0,0.45950558513590867,7.314935064935065,18,2069,251,745,2.9603174603174605
Dr.Rajkumar Ward,-0.0,0.33472755630039486,-0.0,0.19272362665026177,3.8,14,1333,187,458,2.4414893617021276
Ejipura,-0.0,0.260003589320543,-0.0007015975765975765,0.10656944848543765,3.958333333333333,33,2595,418,770,1.8400954653937946
Gali Anjaneya Swamy Temple Ward,-0.0,0.2439639465303466,-0.0,0.46512300404700635,4.0,7,1391,162,504,3.098159509202454
Gandhi Nagar,0.11437908496732026,0.1176674046257454,-0.0,0.6684985187452955,6.651515151515152,43,2916,398,843,2.1152882205513786
Ganeshmandira Ward,-0.0,0.11033976523997477,-0.0,0.07812970325652914,5.928571428571429,7,2740,408,876,2.1442542787286065
Ganga Nagar,-0.0,0.4244471754904474,-0.0,0.3493236872078871,4.583333333333334,6,1696,211,568,2.6839622641509435
Gangenahalli,-0.0,0.5287333251214301,-0.0,0.4892111290416603,2.5,2,1073,164,294,1.7878787878787878
Garudacharpalya,0.07417582417582418,0.03180248431808431,-0.0,0.3057487934246461,8.75,20,2370,251,990,3.9325396825396823
Gayathri Nagar,-0.0,0.10819724752370144,-0.0,0.1342780068399353,1.0,4,1343,366,361,0.9863760217983651
Giri Nagar,-0.0,0.437890005937993,-0.0,0.28340581537753196,10.598214285714285,12,5123,664,1786,2.687218045112782
Gottigere,-0.0,0.8121594578670615,-0.00018184405442819181,0.10652290474445593,21.17857142857143,26,8335,1089,3298,3.026605504587156
Govindraja Nagara,-0.0,0.3950915849041501,-0.0,0.5744286837341164,1.0555555555555556,4,1491,260,459,1.7624521072796935
Gurappanapalya,-0.0,0.15338971199909993,-0.0,0.22022025135488232,4.414529914529915,12,1472,157,473,3.0
H.M.T,-0.0,0.3078071380727444,-0.0,0.9731642387324617,3.354166666666667,32,1774,295,555,1.8783783783783783
HAL Airport,-0.0,0.4377282589388055,-0.0,0.5192490622486565,3.375,9,1257,202,452,2.231527093596059
HBR Layout,-0.0,0.8954955742283934,-0.00017946263551581009,0.4552980478071733,14.148351648351648,80,7430,1144,2226,1.9449781659388645
HSR Layout,-0.0,0.9472359051495483,-0.0002048003043313484,0.4222502818286719,10.933333333333334,79,8838,1705,2658,1.5586166471277842
Hagadooru,-0.0,0.7159222103923862,-0.0008439949894571146,0.02489756445216774,18.017045454545453,64,5091,566,1981,3.495590828924162
Hampi Nagar,-0.0,0.7132270251909245,-0.0,0.9678696981482421,8.083333333333332,8,2808,367,1060,2.8831521739130435
Hanumantha Nagar,-0.0,0.7422398232672732,-0.0,0.6398196587130265,1.9545454545454546,5,1936,359,582,1.6194444444444445
Hebbal,-0.0,0.18963988810479404,-0.0,0.41258875497702685,9.685714285714287,25,2916,438,1123,2.560364464692483
Hegganahalli,-0.0,0.3185419110445046,-0.0,0.7540225300620748,6.354166666666666,14,2025,202,749,3.6945812807881775
Hemmigepura,0.09090909090909091,0.2583050020774267,-6.0509895517786275e-05,0.4948288944459869,39.723684210526315,58,12795,1460,4358,2.9835728952772076
Herohalli,-0.0,0.6868394360272108,-0.0003182342933527768,0.09781702473822257,17.4331550802139,55,7062,890,2341,2.6285072951739616
Hombegowda Nagar,-0.0,0.49920739971501427,-0.0009011378692229756,0.08084959612275873,6.666666666666667,26,2830,383,1117,2.9114583333333335
Hongasandra,-0.0,0.9203001829411458,-0.0003737040744454587,0.2948939838180872,5.8125,41,2661,355,884,2.485955056179775
Hoodi,-0.0,0.9478777812782534,-0.00098543924271748,0.007345988192888901,32.12132352941177,121,9426,1124,3443,3.0613333333333332
Horamavu,-0.11437908496732026,0.6715013105964589,-0.0005753612415384858,0.02832862734229191,28.263636363636365,173,15272,2889,4968,1.7193771626297578
Hosahalli,-0.0,0.6513610554649711,-8.170735693041882e-06,0.21906440661100846,5.211111111111111,20,2007,250,687,2.741035856573705
Hosakerehalli,-0.0,0.1605724342029221,-0.0005668660841074635,0.08782728379058674,2.0,19,2536,519,672,1.2942307692307693
Hoysala Nagar,0.09545454545454546,0.17481236582875503,6.850479999290523e-05,0.6957088687937522,8.916666666666668,46,4581,623,1686,2.703525641025641
J.P.Nagar,-0.0,0.5405539531790933,-0.0,0.9147298042788199,12.675,20,5106,622,1844,2.961476725521669
J.P.Park,-0.0,0.25690561286709235,-0.0,0.42327221109755275,1.7638888888888888,20,1902,361,537,1.4861878453038675
Jagajeevanram Nagar,-0.0,0.07775989643932943,-0.0,0.08960680746141746,2.5166666666666666,2,809,84,408,4.811764705882353
Jakkasandra,-0.0,0.15443051915129236,-0.0,0.32303584413413144,4.593406593406593,7,1381,161,508,3.1419753086419755
Jakkur,0.35416666666666663,0.004298236709264127,0.00025976112767640987,0.18321654665135823,35.3375,97,11196,1411,4396,3.1140226628895182
Jalahalli,-0.0,0.18988196369840515,-0.0,0.31921204599226516,1.1214285714285714,20,1583,356,460,1.2913165266106443
Jaraganahalli,-0.0,0.6457206637227211,-0.0,0.7540225300620748,3.3333333333333335,16,1355,181,512,2.818681318681319
Jayachamarajendra Nagar,-0.0,0.5603921959021287,-0.0,0.35785658722009417,5.2153846153846155,9,1930,264,594,2.2452830188679247
Jayamahal,-0.0,0.605278267746252,-0.0,0.6063360101903987,1.4444444444444444,5,1153,192,302,1.5699481865284974
Jayanagar East,-0.0,0.7381897030659912,-0.0,0.41782683694519607,5.954545454545455,14,2247,287,800,2.78125
Jayangar,-0.0,0.21521923582454716,-0.0,0.09025602441938362,15.48076923076923,11,4158,429,1490,3.4674418604651165
Jeevanbhima Nagar,-0.0,0.4349078928971879,-0.0,0.9205930883437379,7.154761904761905,27,3669,592,1113,1.87858347386172
Jnanabharathi Ward,-0.0,0.483034519549822,-1.5891177218408216e-06,0.9223124727054681,27.625,49,16643,2669,5646,2.11498127340824
Jogupalya,-0.0,0.3244912126613032,-0.0,0.9731642387324617,7.0,28,2011,235,859,3.6440677966101696
K.R.Market,-0.0,0.1117651036650183,2.3267718367536822e-05,0.48529812076273016,3.3333333333333335,24,1121,143,428,2.9791666666666665
K.R.Puram,-0.0,0.2247402032303295,-0.0,0.6181786564077212,6.888888888888889,38,4772,818,1672,2.0427350427350426
Kacharakanahalli,-0.0,0.03360693816576912,-0.0,0.23886817144066186,7.0,11,2323,395,891,2.2525252525252526
Kadugodi,-0.0,0.5654908975704332,-0.00017450771098033853,0.5574190934750418,12.812865497076023,47,3831,450,1455,3.2283813747228383
Kadugondanahalli,-0.0,0.08461356895175433,-0.0,0.13262225087386637,3.833333333333333,8,1688,262,686,2.612167300380228
Kamakshipalya,-0.0,0.4272628567457064,-0.0,0.3995113198488579,2.898989898989899,3,1266,153,461,3.0
Kammanahalli,-0.0,0.4069754134386494,-0.0,0.24600561256358888,4.794642857142858,5,1867,279,638,2.282142857142857
Karisandra,-0.0,0.13847671503211711,-0.0,0.3197324168939859,3.3166666666666664,9,1205,174,414,2.3714285714285714
Katriguppe,-0.0,0.25683925795785656,-0.0,0.1603626623579314,5.966666666666667,4,2883,389,977,2.5076923076923077
Kavalbyrasandra,-0.0,0.45915849959084865,-0.0,0.8828884566786582,19.264423076923077,18,7095,888,2878,3.2384701912260967
Kaveripura,-0.0,0.410518596084969,-0.0,0.36689500763478944,1.7083333333333335,7,1218,220,414,1.8778280542986425
Kempapura Agrahara,-0.0,0.4137552942103686,-0.0,0.4137552942103686,3.083333333333333,4,809,71,367,5.111111111111111
Kempegowda Ward,0.16666666666666666,0.017077722896027995,0.0005210699844829755,0.15905408972447066,8.36111111111111,43,3381,512,1180,2.3021442495126707
Kengeri,-0.0,0.6746744951951613,-3.70309599960763e-05,0.3131526251041533,16.570588235294117,18,4803,501,1650,3.2888446215139444
Kodigehalli,0.06971153846153846,0.3004612676881957,-0.00020243486914310632,0.23326655710712652,17.017857142857142,62,5789,628,2317,3.685214626391097
Konanakunte,-0.0,0.6398694993197216,-0.0001350229132537767,0.3785956540806378,10.455882352941178,38,5677,894,1844,2.0614525139664805
Konena Agrahara,-0.0,0.501652813999101,-0.0,0.9168149485280885,6.833333333333333,19,2574,323,895,2.765432098765432
Koramangala,-0.03125,0.3890943774339958,-0.0006364395838080049,0.0771336684412056,6.125,42,4198,656,1416,2.156773211567732
Kottigepalya,-0.0,0.6760415819247975,-0.0,0.945563640822758,13.25,20,7410,1218,2408,1.9762100082034455
Kumaraswamy Layout,-0.0,0.2741688833660889,-0.0,0.7540225300620748,15.431818181818182,19,4998,605,1855,3.062706270627063
Kushal Nagar,-0.0,0.49143202491054605,-0.0,0.5274713462931504,2.757142857142857,3,998,132,370,2.789473684210526
Kuvempu Nagar,0.10555555555555556,0.07635227108228775,-0.0,1.0,14.425,33,4404,557,1811,3.247311827956989
Laggere,-0.0,0.13379176111756094,-0.0,0.1585961484091467,3.928571428571429,12,2668,430,865,2.0092807424593966
Lakkasandra,-0.0,0.7132270251909245,-0.0,0.5457081747185151,3.677083333333333,7,1003,117,397,3.3728813559322033
Lakshmidevi Nagar,-0.0,0.2681599468110203,-0.0,0.2063228336799936,1.6125,4,584,86,199,2.2988505747126435
Lingarajapuram,-0.0,0.41226711983157605,-0.0,0.24600561256358888,2.3923076923076922,7,1615,251,523,2.0793650793650795
Madiwala,-0.0,0.0199501784368676,-0.0,0.046353852902272084,4.0,10,2468,357,844,2.3603351955307263
Mahalakshmipuram,-0.0,0.6064979888020765,-0.0,0.5145556773343292,2.275,7,1933,398,575,1.443609022556391
Mallasandra,-0.0,0.20459423372167695,-0.0,0.2614025396509938,1.7083333333333335,5,1407,284,422,1.4842105263157894
Malleshwaram,-0.0,0.5438661901184723,-0.0,0.5438661901184723,3.5357142857142856,2,2513,402,923,2.292803970223325
Mangammanapalya,-0.0,0.5743929163859756,-0.00034190187551834525,0.5368163113567568,5.35,57,3562,707,1279,1.807909604519774
Manorayanapalya,-0.0,0.3398699653098112,-1.0888501742160289e-05,0.48529812076273016,9.347222222222221,24,2933,236,1318,5.565400843881856
Marappana Palya,-0.0,0.8997412986871715,-0.0,0.9498704530360561,2.087121212121212,2,1291,225,392,1.738938053097345
Marathalli,-0.0,0.24960427359967507,-0.0,0.6061477490863176,7.0,14,2087,249,791,3.168
Marenahalli,-0.0,0.6350996214230364,-0.0,0.5984999065340422,-0.358974358974359,5,1329,317,402,1.2672955974842768
Maruthi Mandira Ward,-0.0,0.49143202491054605,-0.0,0.5274713462931504,1.1742424242424243,3,1373,249,418,1.676
Maruthi Seva Nagar,-0.0,0.8159723491869253,-0.0,1.0,5.825,10,3517,448,1691,3.7683741648106905
Mathikere,-0.0,0.19587557068600614,-0.0,0.28274545993277467,1.725,10,1661,275,558,2.0253623188405796
Moodalapalya,-0.0,0.14643519153898515,-0.0,0.1603626623579314,-0.5470085470085471,7,1271,236,299,1.2658227848101267
Muneshwara Nagar,-0.0,0.04776124267510367,-0.0,0.0832645166635504,1.1339285714285714,6,598,91,208,2.2717391304347827
Nagapura,-0.0,0.7958834113364159,-0.0,0.6364730246496135,5.229166666666666,8,2829,439,918,2.088636363636364
Nagarabhavi,-0.0,0.6326522167858133,-0.0,0.7209848619016708,2.0,11,1827,279,509,1.8214285714285714
Nagavara,-0.0,0.4779720677177939,-0.0,0.2239389158126146,6.397435897435898,11,2534,322,889,2.7554179566563466
Nandini Layout,-0.0,0.009762628542579364,-0.0,0.011506273356971967,4.267857142857142,5,2222,345,680,1.9682080924855492
Nayandanahalli,-0.0,0.8849857784863859,-0.0,0.9147298042788199,-0.0787878787878788,14,1050,208,252,1.2105263157894737
Neelasandra,-0.0,0.10895972236837621,-0.0,0.23886817144066186,2.1547619047619047,10,824,71,241,3.361111111111111
Newthippasandra,-0.0,0.4651678311934686,-5.612519409657705e-05,0.5557349624423149,11.606060606060606,42,4119,539,1400,2.5944444444444446
Okalipuram,-0.0,0.6944729643203018,-0.0,0.5192490622486565,1.1833333333333333,5,640,74,192,2.5733333333333333
Padarayanapura,-0.0,1.0,-0.0,0.8882339449173687,0.7196078431372549,4,418,60,151,2.4918032786885247
Padmanabha Nagar,-0.0,0.09191282561010841,-0.0,0.05853748036551905,6.5,21,3956,580,1476,2.5421686746987953
Pattabhiram Nagar,-0.0,0.7496784711071866,-0.0,0.7017413828323193,8.46218487394958,19,3875,632,1327,2.0979462875197474
Peenya Industrial Area,-0.0,0.15289255304548535,-0.0,0.15621778686612534,7.947368421052632,9,2193,303,795,2.6184210526315788
Prakash Nagar,-0.0,0.7625969508069989,-0.0,0.6671475648273959,2.0,7,746,107,255,2.3703703703703702
Pulikeshi Nagar,-0.02631578947368421,0.05649935280422471,-0.0012794688564675455,0.007152117296136159,6.0,20,2329,368,730,1.981029810298103
Puttenahalli,-0.0,0.31641265730906876,0.00012817967832538013,0.5557349624423149,4.128787878787879,38,3130,535,922,1.7220149253731343
Radhakrishna Temple,-0.0,0.41618743475637787,-0.0,0.8680432819963503,6.225,28,3261,576,1013,1.75736568457539
Rajagopala Nagar,-0.0,0.3008027423277617,-0.0,0.4142880026300717,5.483333333333333,10,1969,232,696,2.9914163090128754
Rajaji Nagar,-0.0,0.3995113198488579,-0.0,0.46101135791204073,3.116883116883117,6,1701,277,523,1.8848920863309353
Rajamahal,-0.0,0.8743093410941438,-0.0,0.9161284083092117,1.5357142857142856,4,1471,277,470,1.6942446043165467
Rajarajeshwari Nagar,-0.0,0.9217889505615494,-0.00011817581772054111,0.5424221448910934,19.625,99,15546,3467,4437,1.2797001153402539
Ramamurthy Nagar,-0.23076923076923078,0.033399765287904545,-0.0006867910594974124,0.0014273106487188694,16.666666666666668,104,9822,1679,2998,1.7851190476190477
Ramaswamy Palya,-0.0,0.6311709650372739,-0.0,0.8298963832086543,2.3333333333333335,5,1139,170,330,1.935672514619883
Rayapuram,-0.0,0.25963977138128647,-0.0,0.25963977138128647,1.1696428571428572,3,604,112,238,2.1150442477876106
S.K.Garden,-0.0,0.8743093410941438,-0.0,0.9161284083092117,1.6547619047619047,9,801,107,271,2.5185185185185186
Sagayapuram,-0.0,0.09238008162314501,-0.0,0.11188552641187846,5.0,7,1578,247,625,2.524193548387097
Sampangiram Nagar,-0.0,0.6229260993842226,-0.0,0.5450611564640462,7.714285714285714,16,3311,546,1022,1.870201096892139
Sanjay Nagar,-0.0,0.27838960235533483,-0.0,0.7328067121420334,8.291666666666668,14,3537,481,1382,2.8692946058091287
Sarakki,0.08333333333333333,0.07175541351477784,3.9144323418516974e-05,0.3131526251041533,9.100694444444445,28,3697,526,1260,2.3927893738140416
Sarvagna Nagar,-0.0,0.7395701870488107,-0.00024905556944663447,0.1720716176946302,4.485294117647059,12,1606,211,542,2.561320754716981
Shakambari Nagar,-0.0,0.05716510592655678,-0.0,0.1454460033454501,5.875,9,3245,413,1001,2.420289855072464
Shakthiganapathi Nagar,-0.0,0.8501067391385259,-0.0,0.7081359261785469,2.3173076923076925,4,1542,256,515,2.007782101167315
Shankaramata,-0.0,0.5619014718352526,-0.0,0.5274713462931504,3.2475961538461537,4,1822,269,569,2.111111111111111
Shanthala Nagar,-0.0,0.8925359102370776,-0.0003871495719321803,0.1710247730357649,15.470588235294118,32,4610,572,1754,3.06282722513089
Shanthi Nagar,-0.0,0.9434394869504068,-0.0,0.6257530643945326,4.666666666666667,16,2381,320,709,2.2118380062305296
Shettyhalli,-0.06458333333333333,0.4897385632216479,-0.0006357149682192983,0.10317236041322589,16.042857142857144,60,6162,756,1986,2.6248348745046237
Shiva Nagar,-0.0,0.8738446985173735,-0.0,1.0,4.458333333333334,3,1470,149,487,3.2533333333333334
Shivaji Nagar,-0.0,0.8893096506864367,-0.00016534391534391533,0.21906440661100846,3.0,19,1048,124,371,2.976
Siddapura,-0.0,0.026997940837206955,-0.0,0.0351838756817656,5.466666666666667,6,1051,66,503,7.522388059701493
Singasandra,-0.10263157894736842,0.3408510854287973,-0.0005472574664248978,0.07402572925713644,14.494444444444444,107,8090,1352,2372,1.753880266075388
Someshwara,-0.0,0.9474841179849883,-0.0004845682313734037,0.07402572925713644,25.263392857142858,113,10079,1458,3183,2.1823166552433175
Sri Nagar,-0.0,0.9309012350403777,-0.0,0.9309012350403777,7.095454545454546,1,2464,298,793,2.6555183946488294
Sri Rammandira,-0.0,0.47044799993646313,-0.0,0.7401389820130002,5.0,9,2303,316,702,2.217665615141956
Subedarapalya,-0.0,0.05245229006343921,-0.0,0.13485826207013368,2.8856209150326797,10,1801,330,561,1.6978851963746224
Subhash Nagar,-0.0,0.5005882138629408,-0.0,0.8782067804924052,0.916083916083916,7,410,61,127,2.064516129032258
Subramanya Nagar,-0.0,0.4289815297641253,-0.0,0.5274713462931504,1.6378205128205128,4,1489,257,455,1.7674418604651163
Sudam Nagar,0.06458333333333333,0.05888123422751838,0.00015135798509900667,0.46841775775987393,3.75,23,1627,208,586,2.8086124401913874
Sudduguntepalya,-0.0,0.7815112949987133,-0.0,0.35785658722009417,5.333333333333333,7,1858,223,766,3.424107142857143
Sunkenahalli,-0.0,0.10404277119880558,-0.0,0.18663923360468004,7.699999999999999,17,3469,520,1110,2.132437619961612
T-Dasarahalli,-0.0,0.27985983329437514,-0.0,0.45402505928172043,4.0,5,1520,220,508,2.3031674208144794
Thanisandra,-0.0,0.6934314722586745,-0.00019902376157645999,0.5006096271664154,30.910714285714285,128,13236,2077,4253,2.04716073147257
Ullalu,-0.0,0.4191960547392273,-0.00022676792663669902,0.07420042159575978,28.25,40,9668,1124,3716,3.304
Ulsoor,-0.0,0.344315625842209,-0.0,0.5721478401286835,3.0,27,1727,281,539,1.9148936170212767
Uttarahalli,-0.0,0.5495393997888708,-0.00014727000603273146,0.41705887982606993,19.58571428571429,55,10766,1651,3218,1.9485472154963681
Vannarpet,-0.0,0.17135251100562,-0.0,0.46140035510785127,4.880952380952381,18,2108,315,795,2.518987341772152
Varthur,0.09545454545454546,0.3203384817194722,-0.0004995344248995089,0.039762136700688226,18.0,107,6771,976,2453,2.511770726714432
Vasanth Nagar,-0.0,0.3709989952669325,-0.00019978362850916288,0.13306218742776546,3.041666666666667,25,1894,259,574,2.2115384615384617
Vasanthapura,-0.0,0.8945874994078449,-0.0,0.7668843013869673,5.107954545454545,52,8356,1714,2227,1.2991253644314869
Vidyapeetha,-0.0,0.6760528085643454,-0.0,0.21052505852576486,7.125,9,2842,353,1178,3.330508474576271
Vidyaranyapura,-0.0,0.739161775643776,-0.0002220259552374145,0.213557728657769,18.4,43,8975,1474,2715,1.84135593220339
Vignana Nagar,-0.0,0.9736467408169589,-0.000346321806625504,0.29695502091420745,7.9375,51,4904,834,1650,1.977245508982036
Vijanapura,-0.0,0.04394506519735923,-0.0,0.12484873531565419,2.6125,19,2447,562,822,1.4618117229129663
Vijay Nagar,-0.0,0.09427921105665646,-0.0007664908526977492,0.02639449579546423,7.226190476190476,14,2190,240,821,3.4107883817427385
Vishwanathnagenahalli,-0.0,0.8934184032378369,-0.0007207841872289354,0.015869463471595135,21.452380952380953,42,5154,425,1930,4.532863849765258
Visvesvarapuram,-0.0,0.5897075677738349,-0.0,0.4435488805303247,8.05,14,3393,406,1101,2.7076167076167077
Vrushabhavati Nagar,-0.0,0.01474056424743194,-0.0,0.0149600390805583,1.5,6,768,109,232,2.118181818181818
Yadiyuru,-0.0,0.6693866267853552,-0.0,0.9389247210248001,2.916666666666667,9,1480,224,473,2.1066666666666665
Yelachenahalli,-0.0,0.8346303679168444,-3.3079626850955745e-05,0.5755023453182715,6.55,22,4101,605,1663,2.745874587458746
Yelahanka old Satellite Town,-0.0,0.19934750902529008,0.00011913332432180788,0.23544264082452726,1.8263888888888888,32,3978,785,1135,1.44529262086514
Yeshwanthpur,-0.0,0.5619014718352526,-0.0,0.5984999065340422,2.6,4,1199,170,416,2.43859649122807
