,slope1,p1,lvl1,lvl2,slope2,delta
HSR Layout,-0.018163884549373604,0.8618005952380953,1.07031281764861,1.111359395214958,-0.017126889295527414,0.041046577566348
Hagadooru,0.005576059102478381,1.0,1.7443752555042544,1.3688484649925436,-0.07142442800994615,-0.3755267905117108
Hebbal,0.021363632518327902,0.8618005952380953,0.812603630432192,1.2047300817324818,-0.02533983997098445,0.3921264513002898
Hemmigepura,-0.05569835043074302,0.1557418430335097,0.5417272782560826,0.7306982561964828,0.018400655127983216,0.1889709779404002
Herohalli,-0.0023166532637663995,1.0,1.0891299571478037,0.9460395099221959,-0.1532888555961894,-0.14309044722560782
Hombegowda Nagar,0.02614863412552228,0.6006536596119929,1.2710169497520658,1.1198009412259262,-0.20377024952066672,-0.1512160085261396
Hongasandra,-0.0034327835901976356,1.0,1.9219597932414285,1.1750014370519088,0.09663275169194033,-0.7469583561895197
Hoodi,-0.1345808003252911,0.2912483465608466,2.0452392364892864,1.3645307721474929,0.08073350773239996,-0.6807084643417936
Horamavu,-0.04670850079402283,0.38071979717813054,1.6929921543112052,1.2426704450110306,0.09492414529231585,-0.45032170930017457
Hosahalli,0.07391576983311743,0.2912483465608466,1.398218990129886,0.8062296112218634,0.0016121512495862467,-0.5919893789080226
Hosakerehalli,0.02918760919569885,0.4843127204585538,1.244059155273981,0.7125552059286046,-0.01503194321165164,-0.5315039493453765
Hoysala Nagar,0.07368423888741578,0.2912483465608466,0.9711289988293219,1.449287744858769,-0.08502529031022321,0.4781587460294472
J.P.Nagar,0.0266677204296049,0.8618005952380953,0.5731916327856537,0.6209931230887181,0.06839934569365591,0.047801490303064464
J.P.Park,0.13390703476837407,0.10831349206349207,0.9932316776778632,1.285672646840212,0.039062586860772984,0.29244096916234874
Jakkur,0.07384938785433873,0.21637345679012346,0.7564557665546994,1.433058022656708,0.00971598239566439,0.6766022561020086
Jalahalli,0.0759437402467951,0.2912483465608466,0.9109555605022308,1.3941404298505635,0.06020441016989475,0.4831848693483327
Jaraganahalli,-0.050210852768573316,0.1557418430335097,1.182920025223551,1.404949722310898,-0.10701928860423238,0.222029697087347
Jeevanbhima Nagar,0.03786986723340002,0.4843127204585538,0.7930025944207942,1.0802372879218518,-0.12573043735871375,0.28723469350105757
Jnanabharathi Ward,0.01971577559765242,0.4843127204585538,0.3852815111139584,0.4268046170204755,-0.020973186241543023,0.04152310590651709
Jogupalya,0.034153898641490155,0.6006536596119929,1.2521885048271169,1.6592095246134708,-0.03669641590470144,0.40702101978635397
K.R.Market,0.10435061624889058,0.2912483465608466,1.46775217224666,1.9339559231979024,0.10494379654244308,0.46620375095124245
K.R.Puram,0.024853474269564413,0.6006536596119929,0.8222172079510184,1.1097502132865626,0.08971909137063354,0.28753300533554427
Kadugodi,-0.017249043080803994,0.8618005952380953,1.2933501319226486,1.256198418420283,0.05553612719923151,-0.03715171350236557
Kavalbyrasandra,-0.019370030047585925,0.4843127204585538,0.41619645762579466,0.4177146045481452,0.009595032527247095,0.0015181469223505273
Kempegowda Ward,-0.010159088391618235,0.8618005952380953,0.8962121974844959,2.0290751787102668,0.02273912173093311,1.132862981225771
Kengeri,-0.055396705782073064,0.1557418430335097,0.8240533000025136,0.6214465876791107,-0.011453565403507004,-0.202606712323403
Kodigehalli,0.0320562653742954,0.7274895282186948,1.6053910252765669,1.1158388357263695,0.10775196873797238,-0.4895521895501973
Konanakunte,-0.08179422293837942,0.2912483465608466,0.8563609048379621,0.9160927347216667,0.00739434398064961,0.059731829883704624
Konena Agrahara,0.09243571289600779,0.1557418430335097,1.0433965432313244,0.8957763032463028,-0.018281593244970317,-0.1476202399850216
Koramangala,-0.019040272962845273,1.0,1.4881460214912356,0.7968193394857487,0.06604070009468213,-0.691326682005487
Kottigepalya,0.013342110854633956,0.38071979717813054,0.36430204365489693,0.5584041053572809,-0.07284642930644245,0.19410206170238398
Kumaraswamy Layout,-0.0720267484208608,0.1557418430335097,0.5841201387159225,0.7041143487539475,0.03156670027412906,0.11999421003802502
Kuvempu Nagar,0.06075090753870144,0.2912483465608466,1.0646701747558978,1.013165323743787,-0.019193979079597058,-0.051504851012110775
Mangammanapalya,0.10791294566602172,0.4843127204585538,1.8608518260188192,1.4812248534880403,0.14971094373033278,-0.3796269725307788
Manorayanapalya,-0.13597414960740276,0.04662257495590829,0.9992302340664345,1.4059613680374654,-0.14283978463575742,0.4067311339710309
Newthippasandra,-0.015828919873394902,0.8618005952380953,1.184832539144441,1.376919595134248,-0.044942561424593665,0.19208705598980713
Padmanabha Nagar,0.01156359923044148,1.0,1.093963295739854,0.47437086758649694,-0.019635304008672458,-0.619592428153357
Pattabhiram Nagar,0.03973116444396613,0.7274895282186948,0.7506991632292944,0.6630176509526775,0.046945761662038656,-0.08768151227661691
Pulikeshi Nagar,-0.2318851511523816,0.10831349206349207,1.4265048366709236,0.7753421998124091,0.025689992398594486,-0.6511626368585145
Puttenahalli,-0.007478730608303137,1.0,1.2063049099388332,1.3031121956191931,0.1949687189533321,0.0968072856803599
Radhakrishna Temple,-0.10492381061077022,0.2912483465608466,0.9752968163027484,1.1502743155365722,0.19030658571884804,0.17497749923382377
Rajarajeshwari Nagar,0.015943904106733353,0.7274895282186948,0.7196269825055486,0.8977037613880267,-0.026594963541598182,0.17807677888247808
Ramamurthy Nagar,0.037639825288113306,0.7274895282186948,1.7208572296483702,1.0996413469964708,-0.04728608053404204,-0.6212158826518994
Sampangiram Nagar,-0.0446960817970638,0.38071979717813054,0.702396937183336,0.795291276605053,-0.000610335734309353,0.0928943394217171
Sarakki,0.0431757235065119,0.4843127204585538,0.760299993993737,1.1558012052668831,0.06786502283725505,0.3955012112731461
Shanthala Nagar,0.08395429558648441,0.10831349206349207,1.2074523028374529,0.8323827278591294,-0.13961678624636883,-0.3750695749783235
Shanthi Nagar,-0.010173851182940327,0.8618005952380953,1.0185702502215042,0.8088059344062067,0.03725013637981019,-0.20976431581529742
Shettyhalli,-0.1964562573229517,0.10831349206349207,1.2776294414786276,1.0164462324378547,-0.03584322629641326,-0.26118320904077286
Shivaji Nagar,0.10104638875968003,0.2912483465608466,1.9002215187783507,1.2363965544862945,-0.03354113029877942,-0.6638249642920562
Singasandra,-0.06761078448915703,0.7274895282186948,1.8413114659863503,1.4691600621203242,-0.03697212353995729,-0.3721514038660261
Someshwara,-0.090702563665923,0.1557418430335097,1.5839275140122913,1.3666626918460207,0.004312007998218921,-0.21726482216627052
Sudam Nagar,0.07418209713108904,0.1557418430335097,1.1978581106537838,1.561638706832047,0.03711721295538939,0.3637805961782632
Sunkenahalli,-0.016091126081902083,0.7274895282186948,0.48987950567008276,0.9364974609878092,0.07722744150407235,0.4466179553177264
Thanisandra,0.047682555774242075,0.7274895282186948,1.0928852964089726,1.6365771670198608,-0.09450555200324458,0.5436918706108882
Ullalu,0.02328165305571972,0.8618005952380953,0.7305634479183017,0.5614300374377035,0.005555783063901957,-0.16913341048059827
Ulsoor,0.15467420116913697,0.21637345679012346,1.3215833398194938,1.5643064374411164,-0.030465810512207758,0.24272309762162259
Uttarahalli,-0.07318044479741825,0.009148478835978836,0.5964216075366449,0.9265713255776895,-0.057437876374846375,0.33014971804104465
Vannarpet,-0.013474680304790787,0.8618005952380953,0.8499625992427011,1.1823804174987171,-0.012161011541843514,0.332417818256016
Varthur,0.1154104134922869,0.2912483465608466,2.245352940859167,1.858349580149644,0.04797806249572256,-0.3870033607095231
Vasanth Nagar,-0.1687707085613721,0.10831349206349207,1.3156579442949004,1.3773000412996839,-0.021053625439748105,0.061642097004783514
Vasanthapura,-0.0438954136073502,0.2912483465608466,0.6674774527610973,0.913929742275714,0.014487027907601036,0.24645228951461673
Vidyaranyapura,-0.007032058982672895,1.0,0.7742747477666093,0.5219487395194674,0.027768175003195346,-0.2523260082471419
Vignana Nagar,0.05793228621049499,0.38071979717813054,1.3295800243862703,1.1065482171991445,-0.03149723524181347,-0.22303180718712579
Vijanapura,0.110232810854266,0.10831349206349207,0.8587779546391158,1.1196452343593823,0.09275359262663051,0.2608672797202666
Vishwanathnagenahalli,-0.01989989197605884,0.8618005952380953,1.3584614916246571,0.9283244610672305,-0.09284974470482334,-0.4301370305574266
Yelachenahalli,0.08963445683200133,0.6006536596119929,0.9422490927458093,0.75438746312906,-0.06702832676083206,-0.18786162961674924
Yelahanka old Satellite Town,-0.05681321113197392,0.4843127204585538,0.7492766075809824,1.2383114094490768,0.23590259008406642,0.48903480186809445
