complaint_ward_name,bbmp_ward_no,bbmp_ward_name,bbmp_zone,centroid_lat,centroid_lon,ward_area_sqkm,match_method,in_flood_register,register_ward_name,notes
Kodigehalli,8,Kodigehalli,Yelahanka,13.053846,77.579088,3.8,exact,true,Kodigehalli,
Konanakunte,195,Konankunte,Bommanahalli,12.885775,77.579902,3.4,manual,false,,"medial vowel; boundary ward 195 Konankunte, Bommanahalli"
Konena Agrahara,113,Konena Agrahara,East,12.955780,77.652205,2.1,exact,true,Konena Agrahara,
Koramangala,151,Koramangala,South,12.931340,77.624649,3.7,exact,true,Koramangala,
Kottigepalya,73,Kottegepalya,Rajarajeswari Nagar,12.982456,77.514090,5.8,manual,true,Kottegepalya,"e/i; boundary ward 73 Kottegepalya, RR Nagar"
Kumaraswamy Layout,181,Kumaraswamy Layout,South,12.906990,77.561858,1.8,exact,false,,
Kushal Nagar,31,Kushal Nagar,East,13.016273,77.615017,0.6,exact,false,,
Kuvempu Nagar,11,Kuvempu Nagar,Yelahanka,13.072080,77.541869,7.1,exact,true,Kuvempu Nagar,
Laggere,69,Laggere,Rajarajeswari Nagar,13.007687,77.523900,1.6,exact,true,Laggere,
Lakkasandra,146,Lakkasandra,South,12.941109,77.604804,1.3,exact,false,,
Lakshmidevi Nagar,42,Lakshmi Devi Nagar,Rajarajeswari Nagar,13.020603,77.532472,1.5,normalised,false,,transliteration fold to 'Lakshmi Devi Nagar' (normal form 'laksmidevinagar')
Lingarajapuram,49,Lingarajapura,East,13.009946,77.626972,0.9,manual,false,,"puram/pura; boundary ward 49 Lingarajapura, East"
Madiwala,172,Madivala,South,12.920018,77.614418,1.2,normalised,true,Madivala,transliteration fold to 'Madivala' (normal form 'madival')
Mahalakshmipuram,68,Mahalakshimpuram,West,13.007350,77.540043,0.9,manual,false,,"boundary ward 68 Mahalakshimpuram, West"
Mallasandra,13,Mallasandra,Dasarahalli,13.054436,77.515126,1.3,exact,false,,
Malleshwaram,45,Malleswaram,West,13.014074,77.561673,1.8,normalised,true,Malleshwaram,transliteration fold to 'Malleswaram' (normal form 'malesvaram')
Mangammanapalya,190,Mangammanapalya,Bommanahalli,12.896167,77.641823,3.5,exact,false,,
Manorayanapalya,33,Manorayanapalya,East,13.026743,77.597305,0.8,exact,false,,
Marappana Palya,44,Marappana Palya,West,13.017480,77.546242,2,exact,false,,
Marathalli,86,Marathahalli,Mahadevapura,12.950743,77.691495,3.1,manual,true,Marathahalli,"medial 'ha'; boundary ward 86 Marathahalli, Mahadevapura"
Marenahalli,125,Marenahalli,West,12.971889,77.532844,0.7,exact,false,,
Maruthi Mandira Ward,126,Maruthi Mandir ward,West,12.966711,77.528464,0.8,normalised,false,,transliteration fold to 'Maruthi Mandir ward' (normal form 'marutimandir')
Maruthi Seva Nagar,59,Maruthi Seva Nagar,East,12.999921,77.630081,2.4,exact,false,,
Mathikere,36,Mattikere,West,13.032589,77.561034,0.9,normalised,false,,transliteration fold to 'Mattikere' (normal form 'matikere')
Moodalapalya,127,Mudalapalya,West,12.969239,77.521640,1,normalised,true,Mudalapalya,transliteration fold to 'Mudalapalya' (normal form 'mudalapaly')
Muneshwara Nagar,48,Muneshwara Nagar,East,13.014160,77.610978,0.5,exact,false,,
Nagapura,67,Nagapura,West,13.004126,77.548130,1.8,exact,false,,
Nagarabhavi,128,Nagarabhavi,West,12.955843,77.519366,1.6,exact,true,Nagarbhavi,
Nagavara,23,Nagavara,East,13.031509,77.616696,2.1,exact,true,Nagavara,
Nandini Layout,43,Nandini Layout,West,13.013450,77.534141,1.4,exact,true,Nandini Layout,
Nayandanahalli,131,Nayandahalli,West,12.945141,77.519961,2.1,manual,true,Nayandahalli,"medial 'na'; boundary ward 131 Nayandahalli, West"
Neelasandra,116,Nilasandra,East,12.951160,77.614644,0.5,normalised,true,Nilasandra,transliteration fold to 'Nilasandra' (normal form 'nilasandr')
Newthippasandra,58,New Tippasandara,East,12.976504,77.656791,3.4,manual,false,,"spacing; boundary ward 58 New Tippasandara, East"
Okalipuram,96,Okalipuram,West,12.982784,77.563817,0.8,exact,true,Okalipuram,
Padarayanapura,135,Padarayanapura,West,12.963703,77.548812,0.3,exact,false,,
Padmanabha Nagar,182,Padmanabha Nagar,South,12.913501,77.556057,1.7,exact,false,,
Pattabhiram Nagar,168,Pattabhiram Nagar,South,12.924545,77.587545,1.7,exact,false,,
Peenya Industrial Area,41,Peenya Industrial Area,Dasarahalli,13.020902,77.508611,5.5,exact,false,,
Prakash Nagar,98,Prakash Nagar,West,12.993094,77.558221,0.6,exact,true,Prakash Nagar,
Pulikeshi Nagar,78,Pulikeshinagar,East,12.995343,77.611856,1.7,normalised,false,,transliteration fold to 'Pulikeshinagar' (normal form 'pulikesinagar')
Puttenahalli,187,Puttenahalli,Bommanahalli,12.897318,77.590603,2.9,exact,false,,
Radhakrishna Temple,18,Radhakrishna Temple Ward,East,13.038305,77.570572,1.9,normalised,true,Radhakrishna Temple,transliteration fold to 'Radhakrishna Temple Ward' (normal form 'radakrisnatemple')
Rajagopala Nagar,70,Rajagopal Nagar,Dasarahalli,13.006200,77.512249,2.2,manual,true,Rajagopal Nagar,"trailing vowel; boundary ward 70 Rajagopal Nagar, Dasarahalli"
Rajaji Nagar,99,Rajaji Nagar,West,12.994599,77.550193,0.9,exact,false,,
Rajamahal,64,Rajamahal Guttahalli,West,13.001372,77.579060,0.7,manual,false,,"complaint feed shortens it; boundary ward 64 Rajamahal Guttahalli, West"
Rajarajeshwari Nagar,160,Rajarajeshwari Nagar,Rajarajeswari Nagar,12.918757,77.522141,11.1,exact,true,Rajarajeshwari Nagar,
Ramamurthy Nagar,26,Ramamurthy Nagar,Mahadevapura,13.033613,77.676539,7.3,exact,true,Rammurthynagar,
Ramaswamy Palya,62,Ramaswamy Palya,East,13.005976,77.599077,0.8,exact,false,,
Rayapuram,137,Rayapuram,West,12.964988,77.556378,0.4,exact,true,Rayapuram,
S.K.Garden,61,S K Garden,East,13.005328,77.607058,1.3,normalised,false,,transliteration fold to 'S K Garden' (normal form 'skgarden')
Sagayapuram,60,Sagayarapuram,East,13.005577,77.616866,0.8,manual,false,,"boundary ward 60 Sagayarapuram, East"
Sampangiram Nagar,110,Sampangiram Nagar,East,12.976795,77.595372,4.4,exact,false,,
Sanjay Nagar,19,Sanjaya Nagar,East,13.039301,77.577800,1.5,manual,false,,"boundary ward 19 Sanjaya Nagar, East"
Sarakki,178,Sarakki,South,12.907940,77.582950,1.3,exact,false,,
Sarvagna Nagar,79,Sarvagna Nagar,East,12.989170,77.631039,3.6,exact,false,,
Shakambari Nagar,179,Shakambari Nagar,South,12.917088,77.579775,1.9,exact,true,Shakambari Nagar,
Shakthiganapathi Nagar,74,Shakthi Ganapathi Nagar,West,12.995048,77.531584,0.7,normalised,false,,transliteration fold to 'Shakthi Ganapathi Nagar' (normal form 'saktiganapatinagar')
Shankaramata,75,Shankar Matt,West,12.999984,77.534408,1.1,manual,true,Shankar Matt,"Shankara Matha; boundary ward 75 Shankar Matt, West"
Shanthala Nagar,111,Shantala Nagar,East,12.969867,77.606464,4,normalised,true,Shantala Nagar,transliteration fold to 'Shantala Nagar' (normal form 'santalanagar')
Shanthi Nagar,117,Shanthi Nagar,East,12.957324,77.603705,2.7,exact,true,Shanthi Nagar,
Shettyhalli,12,Shettihalli,Dasarahalli,13.067997,77.519409,8.1,manual,true,Shettihalli,"i/y; boundary ward 12 Shettihalli, Dasarahalli"
Shiva Nagar,107,Shivanagara,West,12.988504,77.549520,0.8,normalised,false,,transliteration fold to 'Shivanagara' (normal form 'sivanagar')
Shivaji Nagar,92,Shivaji Nagar,East,12.988702,77.605873,0.4,exact,true,Shivaji Nagar,
Siddapura,144,Siddapura,South,12.943845,77.593016,0.7,exact,true,Siddapura,
Singasandra,191,Singasandra,Bommanahalli,12.881166,77.657655,9.7,exact,true,Singasandra,
Someshwara,3,Atturu,Yelahanka,13.102805,77.560038,8.8,manual,false,,"RESOLVED VIA THE 243-WARD DELIMITATION. No 198-ward is named Someshwara, and the complaint feed has no 'Atturu'. In bbmp_ward_map_2022.kml (243 wards) ward 3 is 'Someshwara Ward' centroid 13.1037,77.5744 and ward 4 is 'Atturu Layout' centroid 13.0957,77.5550 - both carved out of the single 198-ward 3 'Atturu', centroid 13.1028,77.5600. So the complaint feed's 'Someshwara' is 198-ward 3. Consistent with volume: 11,376 complaints from an 8.8 sq km fast-growing Yelahanka ward"
Sri Nagar,156,Srinagar,South,12.945328,77.553494,0.8,normalised,false,,transliteration fold to 'Srinagar' (normal form 'srinagar')
Sri Rammandira,108,Sriramamandir,West,12.983767,77.555891,1.1,manual,true,Sri Ramamandir,"boundary ward 108 Sriramamandir, West"
Subedarapalya,65,Kadu Malleshwar Ward,West,13.002385,77.568491,1.4,manual,false,,"LOWEST-CONFIDENCE ROW - verify. Reached by elimination once Someshwara resolved to ward 3: exactly one complaint name and one boundary ward remained. Corroborated but not proved: Subedarpalya is a Malleshwaram-belt locality and boundary ward 65 'Kadu Malleshwar Ward' is West zone, BBMP Division and Sub Division both 'Malleshwaram', 1.4 sq km. Neither the register nor the 243-ward file contains a 'Subedarapalya' ward to check against"
Subhash Nagar,95,Subhash Nagar,West,12.982667,77.568627,1.3,exact,true,Subhash Nagar,
Subramanya Nagar,66,Subramanya Nagar,West,13.007040,77.557109,0.9,exact,false,,
Sudam Nagar,118,Sudham Nagara,South,12.959335,77.586193,1,normalised,false,,transliteration fold to 'Sudham Nagara' (normal form 'sudamnagar')
Sudduguntepalya,152,Suddagunte Palya,South,12.929971,77.608215,1.7,manual,true,Suddgunte Palya,"spacing; boundary ward 152 Suddagunte Palya, South"
Sunkenahalli,142,Sunkenahalli,South,12.948691,77.567874,1.5,exact,false,,
T-Dasarahalli,15,T Dasarahalli,Dasarahalli,13.045358,77.514736,0.9,normalised,false,,transliteration fold to 'T Dasarahalli' (normal form 'tdasarahali')
Thanisandra,6,Thanisandra,Yelahanka,13.056525,77.622411,10,exact,true,Thanisandra,
Ullalu,130,Ullalu,Rajarajeswari Nagar,12.946716,77.484618,8.7,exact,true,Ullalu,
Ulsoor,90,Halsoor,East,12.979704,77.619822,1.7,manual,true,Halsoor,"Halasuru IS Ulsoor - Kannada versus anglicised name, not a spelling variant. Boundary ward 90 Halsoor, East. Decided on local knowledge plus centroid; string distance alone would not justify it"
Uttarahalli,184,Uttarahalli,Bommanahalli,12.900264,77.537081,9.9,exact,false,,
Vannarpet,115,Vannarpet,East,12.954209,77.618941,0.8,exact,true,Vannarpet,
Varthur,149,Varthuru,Mahadevapura,12.935373,77.733614,28.3,manual,true,Varthuru,"trailing vowel; boundary ward 149 Varthuru, Mahadevapura"
Vasanth Nagar,93,Vasanth Nagar,East,12.989131,77.585805,3.1,exact,false,,
Vasanthapura,197,Vasanthpura,Bommanahalli,12.891422,77.556846,5.7,manual,false,,"medial vowel; boundary ward 197 Vasanthpura, Bommanahalli"
Vidyapeetha,164,Vidyapeeta ward,South,12.934201,77.559476,1.2,normalised,false,,transliteration fold to 'Vidyapeeta ward' (normal form 'vidyapit')
Vidyaranyapura,9,Vidyaranyapura,Yelahanka,13.077092,77.569454,9.9,exact,true,Vidyaranyapura,
Vignana Nagar,81,Vijnana Nagar,Mahadevapura,12.978493,77.681770,5.7,manual,true,Vijnana Nagar,"Vijnana/Vignana; boundary ward 81 Vijnana Nagar, Mahadevapura. Distinct from Vijayanagar ward 123"
Vijanapura,51,Vijnanapura,Mahadevapura,13.006063,77.669565,2.1,manual,true,Vijnanapura,"dropped 'n'; boundary ward 51 Vijnanapura, Mahadevapura"
Vijay Nagar,123,Vijayanagar,South,12.972093,77.547044,0.7,manual,true,Vijayanagar,"complaint feed contracts it; boundary ward 123 Vijayanagar, South. Distinct from Vignana Nagar ward 81"
Vishwanathnagenahalli,22,Vishwanath Nagenahalli,East,13.035174,77.603741,1.5,normalised,false,,transliteration fold to 'Vishwanath Nagenahalli' (normal form 'visvanatnagenahali')
Visvesvarapuram,143,Vishveshwara Puram,South,12.950486,77.579883,2.5,normalised,true,Vishveshwara Puram,transliteration fold to 'Vishveshwara Puram' (normal form 'visvesvarapuram')
Vrushabhavati Nagar,102,Vrisabhavathi Nagar,West,12.989772,77.525879,1,manual,true,Vrisabhavathi Nagar,"i/u and th/t; boundary ward 102 Vrisabhavathi Nagar, West"
Yadiyuru,167,Yediyur,South,12.934252,77.576080,1.2,manual,false,,"boundary ward 167 Yediyur, South"
Yelachenahalli,185,Yelchenahalli,Bommanahalli,12.900229,77.567014,1.6,manual,false,,"medial vowel; boundary ward 185 Yelchenahalli, Bommanahalli"
Yelahanka old Satellite Town,4,Yelahanka Satellite Town,Yelahanka,13.090987,77.583925,4.6,manual,true,Yelahanka Satellite Town,"complaint feed adds 'old'; boundary ward 4 Yelahanka Satellite Town, Yelahanka"
Yeshwanthpur,37,Yeshwanthpura,Rajarajeswari Nagar,13.026029,77.553857,0.8,normalised,false,,transliteration fold to 'Yeshwanthpura' (normal form 'yesvantpur')
